customer_id,R,F,M,r,f,m,segment
1,29,1,11000.0,3,1,1,Новые
2,240,1,45000.0,1,1,2,Спящие
3,18,1,72000.0,3,1,2,Новые
4,34,2,97000.0,3,2,2,Чемпионы
5,145,3,61500.0,2,3,2,Лояльные
6,68,2,360000.0,3,2,3,Чемпионы
8,27,3,807000.0,3,3,3,Чемпионы
10,285,1,43200.0,1,1,2,Спящие
11,312,1,135000.0,1,1,2,Спящие
12,188,1,38000.0,2,1,1,Спящие
13,120,1,52000.0,2,1,2,Спящие
14,164,1,420000.0,2,1,3,Спящие
15,44,1,18000.0,3,1,1,Новые
16,68,1,52000.0,3,1,2,Новые
17,20,1,91200.0,3,1,2,Новые
18,227,4,68000.0,1,3,2,Под угрозой ухода
19,162,1,162000.0,2,1,3,Спящие
20,178,1,29000.0,2,1,1,Спящие
22,26,1,16500.0,3,1,1,Новые
23,89,1,29000.0,2,1,1,Спящие
24,161,1,24000.0,2,1,1,Спящие
25,13,1,180000.0,3,1,3,Новые
26,332,1,18000.0,1,1,1,Спящие
27,196,1,420000.0,2,1,3,Спящие
28,66,1,9000.0,3,1,1,Новые
29,18,2,90000.0,3,2,2,Чемпионы
30,21,2,107400.0,3,2,2,Чемпионы
31,237,1,24000.0,1,1,1,Спящие
32,63,1,6000.0,3,1,1,Новые
33,90,3,845500.0,2,3,3,Лояльные
34,98,1,68400.0,2,1,2,Спящие
35,309,1,52000.0,1,1,2,Спящие
36,17,1,52000.0,3,1,2,Новые
37,162,1,180000.0,2,1,3,Спящие
38,24,5,539200.0,3,3,3,Чемпионы
39,158,3,60900.0,2,3,2,Лояльные
41,185,1,6000.0,2,1,1,Спящие
42,131,1,5500.0,2,1,1,Спящие
43,229,1,12000.0,1,1,1,Спящие
44,97,1,38000.0,2,1,1,Спящие
45,205,1,52000.0,1,1,2,Спящие
46,257,1,21600.0,1,1,1,Спящие
48,364,1,45000.0,1,1,2,Спящие
49,160,5,1128600.0,2,3,3,Лояльные
50,200,1,5500.0,1,1,1,Спящие
51,40,2,507000.0,3,2,3,Чемпионы
